candidate,state,standardized_office_18,standardized_status_18,redistricting_role,amount_18_in_state,amount_18_out_of_state,amount_18_unknown,amount_18_total,pct_18_in_state,pct_18_out_of_state,pct_18_unknown,standardized_office_14,standardized_status_14,amount_14_in_state,amount_14_out_of_state,amount_14_unknown,amount_14_total,pct_14_in_state,pct_14_out_of_state,pct_14_unknown,standardized_office_10,standardized_status,amount_10_in_state,amount_10_out_of_state,amount_10_unknown,amount_10_total,pct_10_in_state,pct_10_out_of_state,pct_10_unknown
"SPALLONE, JAMES FIELD",CT,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$8,075","$1,825",$0,"$9,900",82%,18%,0%
"SPANBAUER, RICHARD J",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$9,998","$1,025",$0,"$11,023",91%,9%,0%
"SPANO, MICHAEL J",NY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$78,569","$2,925","$3,800","$85,294",92%,3%,4%
"SPARKS, DANIEL",MN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,750",$0,"$6,750","$8,500",21%,0%,79%
"SPARKS, RON",AL,,,,,,,,,,,,,,,,,,,,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,"$1,673,446","$44,050","$1,000","$1,718,496",97%,3%,0%
"SPEAR, TIMOTHY LEE",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$18,137","$2,000",$0,"$20,137",90%,10%,0%
"SPENCE, TERRY R",DE,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$11,050","$1,210",$0,"$12,260",90%,10%,0%
"SPENCER, JOHN",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,637",$0,$0,"$3,637",100%,0%,0%
"SPENCER, PAUL",WA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$200,$0,$0,$200,100%,0%,0%
"SPENCER, SELDEN E",IA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$30,420",$450,$600,"$31,470",97%,1%,2%
"SPERANZO, CHRISTOPHER N",MA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$8,325",$0,$0,"$8,325",100%,0%,0%
"SPERRY, GRACE",UT,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$2,449",$275,$0,"$2,724",90%,10%,0%
"SPETA, JAMES F (JIM)",IL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,000",$0,$0,"$1,000",100%,0%,0%
"SPICER, TERRY",AL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$202,703","$1,500",$650,"$204,853",99%,1%,0%
"SPILIOTIS, JOYCE A",MA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$14,900","$1,150",$0,"$16,050",93%,7%,0%
"SPILLERS, ED",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$7,399",$692,$0,"$8,091",91%,9%,0%
"SPISAK, DENNIS & RIOS, ANITA",OH,,,,,,,,,,,,,,,,,,,,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,"$2,809",$0,$0,"$2,809",100%,0%,0%
"SPIVEY, SYLVIA",TX,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,805",$0,$0,"$5,805",100%,0%,0%
"SPOFFORD, JACQUELINE JOHN",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,856",$100,$0,"$4,956",98%,2%,0%
"SPONHOLZ, BRAD",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$390,$0,$0,$390,100%,0%,0%
"SPRIGGS, CHERYL WOOTEN",KY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$39,435","$5,800",$0,"$45,235",87%,13%,0%
"SPRING, DAVID",WA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,007",$0,$0,"$4,007",100%,0%,0%
"SPRING, DONNA",OK,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$53,932","$2,500",$0,"$56,432",96%,4%,0%
"SPRINGSTON, EDWARD W",KY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$1,000",$0,$0,"$1,000",100%,0%,0%
"SPRUILL, TRAVIS",GA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$8,432",$0,$0,"$8,432",100%,0%,0%
"SPURLIN, DON",AL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$133,032",$0,$0,"$133,032",100%,0%,0%
"SRIQUI, MICHAEL DAVID",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$27,602","$10,405",$0,"$38,007",73%,27%,0%
"ST PETER, RUDOLPH T",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,678",$0,$0,"$4,678",100%,0%,0%
"STABACK, EDWARD G",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$55,650",$150,$0,"$55,800",100%,0%,0%
"STACHOWSKI, WILLIAM T",NY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$381,559","$45,650","$1,195","$428,404",89%,11%,0%
"STACKHOUSE, EUGENE",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$3,720",$350,$0,"$4,070",91%,9%,0%
"STACKPOLE, ROBERT G",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$21,775",$200,$0,"$21,975",99%,1%,0%
"STACY, HOLLY",OH,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$7,504",$150,$0,"$7,654",98%,2%,0%
"STACY, JOHN WILL",KY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$148,402","$8,350",$0,"$156,752",95%,5%,0%
"STAEBLER, NED",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$78,715","$23,822",$300,"$102,837",77%,23%,0%
"STALEY, CAROLYN Y",AR,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$2,650",$100,$0,"$2,750",96%,4%,0%
"STALLINGS, NELLIE DRAUS",KY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$33,430","$2,550",$0,"$35,980",93%,7%,0%
"STALLWORTH III, THOMAS",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$13,907",$150,$120,"$14,177",98%,1%,1%
"STAMMREICH, JOHN S",CA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$66,822",$790,$0,"$67,612",99%,1%,0%
"STANLEY, HARRIETT L",MA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$46,003","$1,850",$0,"$47,853",96%,4%,0%
"STANLEY, PATRICE L",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$9,729","$3,305",$0,"$13,034",75%,25%,0%
"STANLEY, WOODROW",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$37,086","$1,800",$0,"$38,886",95%,5%,0%
"STANTON, JAMES M",MA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$33,407","$1,850",$500,"$35,757",93%,5%,1%
"STANTON, JAMES R (SMOKEY)",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$760,$0,$0,$760,100%,0%,0%
"STAPLETON, MAUREEN",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$44,257","$5,495",$20,"$49,772",89%,11%,0%
"STARKEY, KATHRYN",FL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$151,930","$2,735",$375,"$155,040",98%,2%,0%
"STARR, DAVID P",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,570",$0,$0,"$1,570",100%,0%,0%
"STASKUNAS, TONY",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$10,015","$3,050",$0,"$13,065",77%,23%,0%
"STATON, CECIL",GA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$50,785","$14,200",$0,"$64,985",78%,22%,0%
"STAUNTON, KEVIN",MN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$20,777","$2,158",$0,"$22,935",91%,9%,0%
"STEADMAN, PAT",CO,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$51,566","$2,925",$0,"$54,491",95%,5%,0%
"STEANS, HEATHER",IL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$318,237","$14,700",$0,"$332,937",96%,4%,0%
"STEBELTON, GERALD L",OH,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$72,851",$250,$0,"$73,101",100%,0%,0%
"STECHSCHULTE, JIM",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$7,875",$0,$0,"$7,875",100%,0%,0%
"STEED, ALEXANDER C",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$700,"$1,705",$0,"$2,405",29%,71%,0%
"STEEL, NATE",AR,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,250",$0,$0,"$16,250",100%,0%,0%
"STEELE, DENNIS",VT,,,,,,,,,,,,,,,,,,,,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,"$1,575",$500,$0,"$2,075",76%,24%,0%
"STEELE, KRIS",OK,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$122,259","$21,050",$0,"$143,309",85%,15%,0%
"STEELE, TRACY",AR,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,925","$2,050",$500,"$18,475",86%,11%,3%
"STEEN II, FRED F",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$14,250","$2,500",$0,"$16,750",85%,15%,0%
"STEEN, REBECCA HARMON",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$2,960",$200,$0,"$3,160",94%,6%,0%
"STEENHOEK, CHAD R",IA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,143",$415,$0,"$5,558",93%,7%,0%
"STEGNER, JOSEPH H (JOE)",ID,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$19,087","$8,000",$0,"$27,087",70%,30%,0%
"STEHMAN, MATT",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,989",$0,$0,"$1,989",100%,0%,0%
"STEIN, CHRISTINA",KS,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$205,$0,$0,$205,100%,0%,0%
"STEIN, JILL ELLEN & PURCELL, RICK",MA,,,,,,,,,,,,,,,,,,,,GOVERNOR/LIEUTENANT GOVERNOR,ADVANCED TO GENERAL,"$120,181","$5,796",$0,"$125,977",95%,5%,0%
"STEIN, REBER P",AK,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,754",$25,$271,"$16,050",98%,0%,2%
"STEINBERG, DARRELL S",CA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$2,273,654","$542,276",$0,"$2,815,929",81%,19%,0%
"STEINBERG, MICHAEL A",FL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$85,292",$25,$0,"$85,316",100%,0%,0%
"STEINBERG, RICHARD L",FL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$20,850","$1,500",$0,"$22,350",93%,7%,0%
"STEINBRINK, JOHN P",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,975",$750,$0,"$7,725",90%,10%,0%
"STEINER, DANIEL M (DAN)",IN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,257",$0,$0,"$3,257",100%,0%,0%
"STEINHILBER, ERIC R",MA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$18,195","$1,950",$0,"$20,145",90%,10%,0%
"STELLING, THOMAS E",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$6,227",$500,$0,"$6,727",93%,7%,0%
"STELLMACH, JOHN J",IA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$14,950","$21,041",$0,"$35,991",42%,58%,0%
"STEPHEN, DAVID",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$4,720",$784,$0,"$5,504",86%,14%,0%
"STEPHENS, AMY G",CO,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$15,358","$1,200",$0,"$16,558",93%,7%,0%
"STEPHENS, GREG",CA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$25,640","$1,025",$315,"$26,980",95%,4%,1%
"STEPHENS, ROBERT LOUIS",CA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$26,901","$2,250",$0,"$29,151",92%,8%,0%
"STEPHENS, RON",IL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$102,389","$6,626",$0,"$109,015",94%,6%,0%
"STEPHENSON, BRIAN JOSEPH",IL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$810,$0,$0,$810,100%,0%,0%
"STEPHENSON, LESLIE J",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,804",$300,$0,"$5,104",94%,6%,0%
"STERKER, PHIL",HI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$650,$200,$0,$850,76%,24%,0%
"STERLING, ALICE",FL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$173,183","$7,845",$300,"$181,328",96%,4%,0%
"STERN, BARBRA ANNE",FL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$110,124","$8,900",$100,"$119,124",92%,7%,0%
"STERN, JERRY A",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$73,003","$3,600",$0,"$76,603",95%,5%,0%
"STERNER, PHILLIP M",MN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$8,771",$0,$0,"$8,771",100%,0%,0%
"STERNISHA, ED",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$8,508",$0,$0,"$8,508",100%,0%,0%
"STEVENS, G ROBERT",CO,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,477",$0,$0,"$1,477",100%,0%,0%
"STEVENS, MARK",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$13,585","$2,900",$0,"$16,485",82%,18%,0%
"STEVENS, RICHARD",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"-$108,028","$15,450",$0,"-$92,578",117%,-17%,0%
"STEVENS, SARA",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,956",$100,$0,"$5,056",98%,2%,0%
"STEVENSON SR, DAN C",IN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$27,600","$3,300",$0,"$30,900",89%,11%,0%
"STEVENSON, ERIC",NY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$23,558",$0,"$1,600","$25,158",94%,0%,6%
"STEVENSON, JOHN A (BERT)",ID,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,277","$1,900",$0,"$18,177",90%,10%,0%
"STEVENSON, RICHARD (DICK)",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$27,950","$4,200",$0,"$32,150",87%,13%,0%
"STEVENSON, TAYLOR",MN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$6,179",$150,$0,"$6,329",98%,2%,0%
"STEWART, AUDREY",GA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,573",$150,$0,"$4,723",97%,3%,0%
"STEWART, CLARENCE D",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$1,615",$0,$0,"$1,615",100%,0%,0%
"STEWART, DANIEL K",OH,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$26,119",$25,$0,"$26,144",100%,0%,0%
"STEWART, JIM",SC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$35,320","$13,050",$0,"$48,370",73%,27%,0%
"STEWART, JOHN C",MI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$66,$0,$0,$66,100%,0%,0%
"STEWART, RANDY",AR,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,700",$300,$0,"$6,000",95%,5%,0%
"STEWART, RANDY",NC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$12,979",$950,$0,"$13,929",93%,7%,0%
"STIEGLER, JUDITH F",OR,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$42,191","$1,950",$0,"$44,141",96%,4%,0%
"STIFLER, DONNA",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$113,673","$7,180",$0,"$120,853",94%,6%,0%
"STILLMAN, ANDREA L",CT,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$11,901",$550,$0,"$12,451",96%,4%,0%
"STILWELL, RUSELL L",IN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$101,970","$36,850",$0,"$138,820",73%,27%,0%
"STINE, KATIE KRATZ",KY,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$151,207","$17,700",$0,"$168,907",90%,10%,0%
"STINE, VANCE",SC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$4,875","$1,200",$0,"$6,075",80%,20%,0%
"STITH, JIM",OH,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,844",$100,$0,"$5,944",98%,2%,0%
"STIVER, VIVIAN M",AK,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$7,374",$0,$0,"$7,374",100%,0%,0%
"STIVERS, JAMES",ID,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$3,305","$1,300",$0,"$4,605",72%,28%,0%
"STOCKLEY, KAREN",CO,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$31,752",$260,$0,"$32,012",99%,1%,0%
"STOCKSDALE, NANCY R",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$26,030","$3,715",$0,"$29,745",88%,12%,0%
"STOCKWELL, GLEN R",WA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,$821,"$1,000",$0,"$1,821",45%,55%,0%
"STODDARD, JACOB TIMOTHY",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$4,726",$0,$0,"$4,726",100%,0%,0%
"STOICK, KERRY",MN,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$1,537",$0,$0,"$1,537",100%,0%,0%
"STOKER, MIKE",CA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$225,001","$5,100",$0,"$230,101",98%,2%,0%
"STONE JR, NORMAN R",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$115,142","$3,950",$0,"$119,092",97%,3%,0%
"STONE, C SCOTT",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$2,315",$100,$0,"$2,415",96%,4%,0%
"STONE, JEFF",AL,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$9,585",$50,$0,"$9,635",99%,1%,0%
"STONE, JEFF",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$27,039",$975,$0,"$28,014",97%,3%,0%
"STONE, MARCEE",WA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$36,144",$275,$100,"$36,519",99%,1%,0%
"STONER, DOUG",GA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$29,600","$11,650",$0,"$41,250",72%,28%,0%
"STORCK, KEN",CO,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$16,872",$695,$0,"$17,567",96%,4%,0%
"STOUDEMIRE JR, CHARLES H",SC,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,608",$0,$0,"$3,608",100%,0%,0%
"STOUFFER, DENNY",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$2,835",$550,$0,"$3,385",84%,16%,0%
"STOUGHTON, CHRIS",MD,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$2,210",$800,$0,"$3,010",73%,27%,0%
"STOUT, DANIEL",GA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,DID NOT ADVANCE,"$21,435","$1,000",$0,"$22,435",96%,4%,0%
"STOUT, SCOTT O",PA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$1,895",$0,$0,"$1,895",100%,0%,0%
"STOWELL, DENNIS E",UT,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$25,333","$1,700",$0,"$27,033",94%,6%,0%
"STRACHOTA, PATRICIA A (PAT)",WI,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$22,668","$1,450",$0,"$24,118",94%,6%,0%
"STRADER, STEPHEN",WA,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$3,116",$0,$0,"$3,116",100%,0%,0%
"STRAMA, MARK",TX,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$105,188","$15,500",$0,"$120,688",87%,13%,0%
"STRANG BURGESS, MEREDITH N",ME,,,,,,,,,,,,,,,,,,,,STATE HOUSE/ASSEMBLY/SENATE,ADVANCED TO GENERAL,"$5,898",$450,$0,"$6,348",93%,7%,0%
